Date,Open,High,Low,Close
2019-06-24 08:00:00,0.9621,1.209,0.9621,1.0016
2019-06-24 12:00:00,1.0033,1.0285,0.9973,0.9995
2019-06-24 16:00:00,0.9995,1.014,0.9973,1.0038
2019-06-24 20:00:00,0.9989,0.9989,0.9989,0.9989
2019-06-25 00:00:00,0.9987,1.002,0.9922,0.9922
2019-06-25 04:00:00,1.0013,1.0014,0.9966,1.0009
2019-06-25 08:00:00,0.9982,1.0014,0.9975,1.0014
2019-06-25 12:00:00,1.0067,1.0067,1.0067,1.0067
2019-06-25 16:00:00,1.0064,1.0064,0.9997,0.9997
2019-06-25 20:00:00,1.006,1.006,0.9971,0.9971
2019-06-26 00:00:00,1.0054,1.0054,0.9974,0.9974
2019-06-26 04:00:00,1.004,1.004,1.004,1.004
2019-06-26 08:00:00,1.004,1.0059,0.9973,1.0059
2019-06-26 12:00:00,0.9989,1.0029,0.9984,1.0029
2019-06-26 16:00:00,1.0029,1.0067,0.9973,1.0067
2019-06-26 20:00:00,1.0067,1.016,0.9977,1.0088
2019-06-27 00:00:00,1.017,1.017,0.9957,1.0087
2019-06-27 04:00:00,0.9973,1.0075,0.9973,1.0075
2019-06-27 08:00:00,1.0075,1.0399,1.0043,1.0044
2019-06-27 12:00:00,1.011,1.0399,1.0077,1.0096
2019-06-27 16:00:00,1.008,1.032,1.0025,1.0141
2019-06-27 20:00:00,1.0091,1.8,1.0,1.012
2019-06-28 00:00:00,1.018,1.0757,1.0064,1.0169
2019-06-28 04:00:00,1.0169,1.017,1.0009,1.0076
2019-06-28 08:00:00,1.012,1.032,1.0029,1.0061
2019-06-28 12:00:00,1.0009,1.198,0.9983,1.001
2019-06-28 16:00:00,1.0064,1.0262,1.0001,1.0006
2019-06-28 20:00:00,1.0063,1.07,0.9915,1.0061
2019-06-29 00:00:00,0.9979,1.0063,0.9978,1.0018
2019-06-29 04:00:00,1.0118,1.0325,1.001,1.001
2019-06-29 08:00:00,1.0108,1.0119,1.0021,1.0084
2019-06-29 12:00:00,1.0036,1.0302,1.0006,1.0009
2019-06-29 16:00:00,1.0036,1.0055,1.0001,1.0022
2019-06-29 20:00:00,1.0055,1.0055,0.9961,1.0
2019-06-30 00:00:00,1.0012,1.0031,0.9971,1.003
2019-06-30 04:00:00,0.999,1.0031,0.9929,1.0006
2019-06-30 08:00:00,1.0029,1.0029,0.9996,1.0029
2019-06-30 12:00:00,1.0042,1.0078,1.0005,1.0055
