Date,Open,High,Low,Close
2022-02-08 04:00:00,0.6868,0.879,0.6868,0.8045
2022-02-08 08:00:00,0.8045,0.8047,0.73,0.7784
2022-02-08 12:00:00,0.7789,0.7845,0.7152,0.736
2022-02-08 16:00:00,0.736,0.7615,0.688,0.6925
2022-02-08 20:00:00,0.694,0.7798,0.6931,0.7626
2022-02-09 00:00:00,0.7625,0.82,0.7394,0.7462
2022-02-09 04:00:00,0.7461,0.7516,0.7258,0.7361
2022-02-09 08:00:00,0.7341,0.7392,0.7121,0.7321
2022-02-09 12:00:00,0.7332,0.7641,0.7271,0.7344
2022-02-09 16:00:00,0.7336,0.76,0.7262,0.7522
2022-02-09 20:00:00,0.7545,0.76,0.7291,0.7329
2022-02-10 00:00:00,0.7329,0.7355,0.6993,0.6996
2022-02-10 04:00:00,0.6999,0.73,0.6962,0.7108
2022-02-10 08:00:00,0.7115,0.74,0.7021,0.7231
2022-02-10 12:00:00,0.7231,0.7352,0.6593,0.7052
2022-02-10 16:00:00,0.7041,0.7335,0.6803,0.6803
2022-02-10 20:00:00,0.6815,0.692,0.6576,0.6637
2022-02-11 00:00:00,0.6649,0.666,0.6322,0.654
2022-02-11 04:00:00,0.6528,0.6793,0.6404,0.6669
2022-02-11 08:00:00,0.6681,0.674,0.6467,0.654
2022-02-11 12:00:00,0.654,0.6877,0.6488,0.6761
2022-02-11 16:00:00,0.6761,0.6773,0.5741,0.58
2022-02-11 20:00:00,0.58,0.604,0.5587,0.58
2022-02-12 00:00:00,0.5792,0.593,0.5742,0.5761
2022-02-12 04:00:00,0.5766,0.5847,0.5555,0.5747
2022-02-12 08:00:00,0.5731,0.5925,0.5724,0.5855
2022-02-12 12:00:00,0.5851,0.5929,0.5656,0.5792
2022-02-12 16:00:00,0.5777,0.612,0.57,0.586
2022-02-12 20:00:00,0.586,0.5976,0.5574,0.5699
2022-02-13 00:00:00,0.5697,0.584,0.5665,0.568
2022-02-13 04:00:00,0.568,0.5839,0.5679,0.576
2022-02-13 08:00:00,0.5767,0.5787,0.5682,0.5732
2022-02-13 12:00:00,0.5716,0.583,0.5659,0.5693
2022-02-13 16:00:00,0.5693,0.5716,0.5311,0.5431
2022-02-13 20:00:00,0.5437,0.564,0.5302,0.5341
2022-02-14 00:00:00,0.5336,0.5413,0.525,0.5409
2022-02-14 04:00:00,0.5408,0.5486,0.525,0.5483
2022-02-14 08:00:00,0.5482,0.5561,0.5276,0.5337
2022-02-14 12:00:00,0.534,0.5678,0.5277,0.5493
2022-02-14 16:00:00,0.5494,0.5857,0.5422,0.5538
2022-02-14 20:00:00,0.5545,0.575,0.5428,0.5685
2022-02-15 00:00:00,0.5685,0.5923,0.562,0.5807
2022-02-15 04:00:00,0.582,0.59,0.575,0.5838
2022-02-15 08:00:00,0.5837,0.6117,0.5802,0.5967
2022-02-15 12:00:00,0.5967,0.6204,0.5898,0.5975
2022-02-15 16:00:00,0.5975,0.5983,0.581,0.5894
2022-02-15 20:00:00,0.5894,0.61,0.5815,0.5997
2022-02-16 00:00:00,0.5982,0.5999,0.572,0.5799
2022-02-16 04:00:00,0.5799,0.6086,0.5681,0.6053
2022-02-16 08:00:00,0.6039,0.6074,0.5854,0.593
2022-02-16 12:00:00,0.5935,0.5947,0.5681,0.5831
2022-02-16 16:00:00,0.5813,0.606,0.57,0.6001
2022-02-16 20:00:00,0.6001,0.6016,0.5928,0.5928
2022-02-17 00:00:00,0.5928,0.607,0.5751,0.581
2022-02-17 04:00:00,0.5797,0.5991,0.572,0.5899
2022-02-17 08:00:00,0.5901,0.5975,0.567,0.5781
2022-02-17 12:00:00,0.5781,0.5826,0.5268,0.5392
2022-02-17 16:00:00,0.5392,0.551,0.527,0.532
2022-02-17 20:00:00,0.5336,0.5452,0.5171,0.5263
2022-02-18 00:00:00,0.5262,0.5447,0.522,0.539
2022-02-18 04:00:00,0.5391,0.5413,0.5296,0.5323
2022-02-18 08:00:00,0.5323,0.5468,0.5128,0.5139
2022-02-18 12:00:00,0.5138,0.5362,0.498,0.5088
2022-02-18 16:00:00,0.5087,0.5215,0.4942,0.5116
2022-02-18 20:00:00,0.5115,0.5182,0.5057,0.5091
2022-02-19 00:00:00,0.5092,0.5137,0.5051,0.5121
2022-02-19 04:00:00,0.5121,0.5248,0.51,0.5197
2022-02-19 08:00:00,0.5196,0.5208,0.4987,0.4987
2022-02-19 12:00:00,0.4988,0.5039,0.49,0.4988
2022-02-19 16:00:00,0.4992,0.5074,0.4795,0.4877
2022-02-19 20:00:00,0.4879,0.4893,0.4717,0.4786
2022-02-20 00:00:00,0.4786,0.4822,0.4555,0.4592
2022-02-20 04:00:00,0.4592,0.4599,0.435,0.4444
2022-02-20 08:00:00,0.4444,0.45,0.4209,0.432
2022-02-20 12:00:00,0.432,0.4465,0.4163,0.4401
