Date,Open,High,Low,Close
2020-04-07 12:00:00,3.554,6.0,3.508,3.64
2020-04-07 16:00:00,3.713,3.713,3.632,3.668
2020-04-07 20:00:00,3.666,3.669,3.5,3.548
2020-04-08 00:00:00,3.548,3.63,3.498,3.625
2020-04-08 04:00:00,3.625,3.702,3.625,3.629
2020-04-08 08:00:00,3.631,3.647,3.565,3.581
2020-04-08 12:00:00,3.568,3.607,3.559,3.595
2020-04-08 16:00:00,3.6,3.654,3.59,3.626
2020-04-08 20:00:00,3.628,3.689,3.628,3.676
2020-04-09 00:00:00,3.673,3.725,3.666,3.68
2020-04-09 04:00:00,3.679,3.747,3.648,3.747
2020-04-09 08:00:00,3.746,3.9,3.68,3.709
2020-04-09 12:00:00,3.708,3.79,3.663,3.774
2020-04-09 16:00:00,3.773,3.99,3.765,3.868
2020-04-09 20:00:00,3.868,4.015,3.86,3.967
2020-04-10 00:00:00,3.965,3.981,3.695,3.705
2020-04-10 04:00:00,3.684,3.724,3.477,3.491
2020-04-10 08:00:00,3.491,3.5,3.39,3.396
2020-04-10 12:00:00,3.395,3.404,3.326,3.331
2020-04-10 16:00:00,3.331,3.406,3.327,3.403
2020-04-10 20:00:00,3.402,3.571,3.402,3.456
2020-04-11 00:00:00,3.457,3.469,3.428,3.467
2020-04-11 04:00:00,3.465,3.482,3.453,3.456
2020-04-11 08:00:00,3.459,3.46,3.406,3.426
2020-04-11 12:00:00,3.427,3.431,3.409,3.41
2020-04-11 16:00:00,3.411,3.424,3.359,3.368
2020-04-11 20:00:00,3.359,3.403,3.341,3.401
2020-04-12 00:00:00,3.403,3.413,3.372,3.372
2020-04-12 04:00:00,3.371,3.371,3.337,3.359
2020-04-12 08:00:00,3.36,3.374,3.331,3.371
2020-04-12 12:00:00,3.373,3.471,3.373,3.471
2020-04-12 16:00:00,3.471,3.526,3.469,3.501
2020-04-12 20:00:00,3.504,3.512,3.405,3.405
2020-04-13 00:00:00,3.405,3.416,3.261,3.281
2020-04-13 04:00:00,3.276,3.3,3.269,3.279
2020-04-13 08:00:00,3.277,3.319,3.251,3.304
2020-04-13 12:00:00,3.303,3.304,3.219,3.263
2020-04-13 16:00:00,3.258,3.282,3.223,3.281
2020-04-13 20:00:00,3.283,3.32,3.282,3.306
2020-04-14 00:00:00,3.306,3.342,3.294,3.338
2020-04-14 04:00:00,3.338,3.346,3.308,3.322
2020-04-14 08:00:00,3.308,3.31,3.273,3.304
2020-04-14 12:00:00,3.302,3.416,3.302,3.408
2020-04-14 16:00:00,3.4,3.43,3.391,3.405
2020-04-14 20:00:00,3.395,3.395,3.361,3.368
2020-04-15 00:00:00,3.363,3.381,3.354,3.381
2020-04-15 04:00:00,3.381,3.408,3.379,3.381
2020-04-15 08:00:00,3.38,3.396,3.314,3.325
2020-04-15 12:00:00,3.316,3.316,3.25,3.25
2020-04-15 16:00:00,3.252,3.333,3.252,3.317
2020-04-15 20:00:00,3.317,3.334,3.278,3.284
2020-04-16 00:00:00,3.282,3.282,3.137,3.19
2020-04-16 04:00:00,3.19,3.494,3.188,3.464
2020-04-16 08:00:00,3.464,3.53,3.441,3.456
2020-04-16 12:00:00,3.456,3.48,3.433,3.466
2020-04-16 16:00:00,3.47,3.55,3.448,3.542
2020-04-16 20:00:00,3.543,3.584,3.513,3.565
2020-04-17 00:00:00,3.566,3.573,3.536,3.544
2020-04-17 04:00:00,3.551,3.551,3.491,3.5
2020-04-17 08:00:00,3.5,3.532,3.486,3.489
2020-04-17 12:00:00,3.497,3.5,3.429,3.435
2020-04-17 16:00:00,3.436,3.514,3.434,3.503
2020-04-17 20:00:00,3.504,3.548,3.498,3.518
2020-04-18 00:00:00,3.514,3.683,3.51,3.663
2020-04-18 04:00:00,3.659,3.667,3.547,3.558
2020-04-18 08:00:00,3.558,3.575,3.543,3.57
2020-04-18 12:00:00,3.572,3.652,3.562,3.64
2020-04-18 16:00:00,3.64,3.754,3.614,3.72
2020-04-18 20:00:00,3.72,3.767,3.715,3.718
2020-04-19 00:00:00,3.721,3.756,3.652,3.743
2020-04-19 04:00:00,3.743,3.757,3.651,3.678
2020-04-19 08:00:00,3.679,3.708,3.671,3.708
2020-04-19 12:00:00,3.708,4.0,3.665,3.778
2020-04-19 16:00:00,3.772,4.879,3.77,4.11
2020-04-19 20:00:00,4.114,4.173,4.045,4.095
2020-04-20 00:00:00,4.096,4.366,4.077,4.148
2020-04-20 04:00:00,4.148,4.5,4.14,4.147
2020-04-20 08:00:00,4.14,4.153,4.006,4.088
2020-04-20 12:00:00,4.07,4.316,4.018,4.211
2020-04-20 16:00:00,4.211,4.4,3.86,3.885
2020-04-20 20:00:00,3.875,3.946,3.858,3.898
2020-04-21 00:00:00,3.894,3.971,3.799,3.83
2020-04-21 04:00:00,3.828,3.855,3.766,3.84
